ID_Pedido,Data_Pedido,Cliente_Nome,Cliente_Email,Produtos_Comprados,Categorias_Produtos,Quantidades,Precos_Unitarios,Fornecedor_Nome,Fornecedor_Cidade,Transportadora_Nome,Taxa_Frete,Cupom_Desconto,Valor_Total
1001,2023-10-05,Daniela Rosa,daniela@email.com,"P104 - Cadeira de Escritório, P101 - Notebook Pro, P103 - Teclado Mecânico","Móveis, Eletrônicos, Periféricos","1, 1, 2","899.0, 5500.0, 450.0","OfficePlus, TechCorp, MegaGamer","Rio de Janeiro, São Paulo, Curitiba",TransExpress,0.0,FRETEGRATIS,7299.0
1002,2023-10-23,Daniela Rosa,daniela@email.com,"P103 - Teclado Mecânico, P102 - Mouse Gamer","Periféricos, Periféricos","2, 1","450.0, 250.0",MegaGamer,Rio de Janeiro,TransExpress,50.0,BEMVINDO10,1085.0
1003,2023-10-09,Carlos Mendes,carlos@email.com,"P105 - Monitor 27'', P102 - Mouse Gamer, P101 - Notebook Pro","Eletrônicos, Periféricos, Eletrônicos","1, 2, 1","1500.0, 250.0, 5500.0","TechCorp, MegaGamer","Rio de Janeiro, São Paulo",LogisticaRapida,35.0,BEMVINDO10,6785.0
1004,2023-10-21,Carlos Mendes,carlos@email.com,"P105 - Monitor 27'', P103 - Teclado Mecânico","Eletrônicos, Periféricos","1, 1","1500.0, 450.0","TechCorp, MegaGamer","Rio de Janeiro, São Paulo",LogisticaRapida,35.0,,1985.0
1005,2023-10-12,Daniela Rosa,daniela@email.com,P101 - Notebook Pro,Eletrônicos,2,5500.0,TechCorp,São Paulo,LogisticaRapida,35.0,,11035.0
1006,2023-10-06,Eduardo Lima,eduardo@email.com,P102 - Mouse Gamer,Periféricos,1,250.0,MegaGamer,Rio de Janeiro,TransExpress,0.0,FRETEGRATIS,250.0
1007,2023-10-03,Daniela Rosa,daniela@email.com,"P104 - Cadeira de Escritório, P101 - Notebook Pro, P103 - Teclado Mecânico","Móveis, Eletrônicos, Periféricos","1, 2, 2","899.0, 5500.0, 450.0","OfficePlus, TechCorp, MegaGamer","Rio de Janeiro, São Paulo, Curitiba",LogisticaRapida,0.0,FRETEGRATIS,12799.0
1008,2023-10-07,Ana Silva,ana@email.com,P101 - Notebook Pro,Eletrônicos,1,5500.0,TechCorp,São Paulo,LogisticaRapida,35.0,,5535.0
1009,2023-10-23,Ana Silva,ana@email.com,P105 - Monitor 27'',Eletrônicos,1,1500.0,TechCorp,São Paulo,LogisticaRapida,35.0,,1535.0
1010,2023-10-07,Eduardo Lima,eduardo@email.com,"P103 - Teclado Mecânico, P104 - Cadeira de Escritório","Periféricos, Móveis","1, 1","450.0, 899.0","OfficePlus, MegaGamer","Rio de Janeiro, Curitiba",LogisticaRapida,0.0,FRETEGRATIS,1349.0
1011,2023-10-27,Daniela Rosa,daniela@email.com,P105 - Monitor 27'',Eletrônicos,2,1500.0,TechCorp,São Paulo,TransExpress,50.0,,3050.0
1012,2023-10-28,Carlos Mendes,carlos@email.com,P105 - Monitor 27'',Eletrônicos,2,1500.0,TechCorp,São Paulo,TransExpress,0.0,FRETEGRATIS,3000.0
1013,2023-10-12,Ana Silva,ana@email.com,"P105 - Monitor 27'', P103 - Teclado Mecânico, P104 - Cadeira de Escritório","Eletrônicos, Periféricos, Móveis","1, 1, 1","1500.0, 450.0, 899.0","OfficePlus, TechCorp, MegaGamer","Rio de Janeiro, São Paulo, Curitiba",TransExpress,0.0,FRETEGRATIS,2849.0
1014,2023-10-16,Carlos Mendes,carlos@email.com,"P101 - Notebook Pro, P103 - Teclado Mecânico","Eletrônicos, Periféricos","1, 2","5500.0, 450.0","TechCorp, MegaGamer","Rio de Janeiro, São Paulo",LogisticaRapida,35.0,BEMVINDO10,5795.0
1015,2023-10-17,Ana Silva,ana@email.com,"P105 - Monitor 27'', P103 - Teclado Mecânico, P101 - Notebook Pro","Eletrônicos, Periféricos, Eletrônicos","2, 2, 2","1500.0, 450.0, 5500.0","TechCorp, MegaGamer","Rio de Janeiro, São Paulo",LogisticaRapida,0.0,FRETEGRATIS,14900.0
1016,2023-10-08,Bruno Costa,bruno@email.com,"P102 - Mouse Gamer, P103 - Teclado Mecânico, P105 - Monitor 27''","Periféricos, Periféricos, Eletrônicos","1, 2, 1","250.0, 450.0, 1500.0","TechCorp, MegaGamer","Rio de Janeiro, São Paulo",LogisticaRapida,35.0,BEMVINDO10,2420.0
1017,2023-10-16,Bruno Costa,bruno@email.com,"P103 - Teclado Mecânico, P102 - Mouse Gamer","Periféricos, Periféricos","1, 2","450.0, 250.0",MegaGamer,Rio de Janeiro,LogisticaRapida,0.0,FRETEGRATIS,950.0
1018,2023-10-04,Daniela Rosa,daniela@email.com,P105 - Monitor 27'',Eletrônicos,1,1500.0,TechCorp,São Paulo,TransExpress,50.0,,1550.0
1019,2023-10-19,Carlos Mendes,carlos@email.com,"P104 - Cadeira de Escritório, P105 - Monitor 27''","Móveis, Eletrônicos","1, 2","899.0, 1500.0","OfficePlus, TechCorp","São Paulo, Curitiba",LogisticaRapida,35.0,,3934.0
1020,2023-10-14,Daniela Rosa,daniela@email.com,"P104 - Cadeira de Escritório, P102 - Mouse Gamer","Móveis, Periféricos","2, 1","899.0, 250.0","OfficePlus, MegaGamer","Rio de Janeiro, Curitiba",LogisticaRapida,35.0,,2083.0
